Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BOROUGH_NOT_SPECIFIED,2013,7,824,1,238,1,0.0012135922330097086
BRONX,2013,7,388,1,126,1,0.002577319587628866
BROOKLYN,2013,7,848,1,244,1,0.0011792452830188679
MANHATTAN,2013,7,719,0,147,0,0.0
QUEENS,2013,7,708,2,167,2,0.002824858757062147
STATEN ISLAND,2013,7,184,0,64,0,0.0
BOROUGH_NOT_SPECIFIED,2013,8,756,1,189,1,0.0013227513227513227
BRONX,2013,8,341,0,112,0,0.0
BROOKLYN,2013,8,769,2,237,2,0.002600780234070221
MANHATTAN,2013,8,703,1,129,1,0.001422475106685633
QUEENS,2013,8,614,2,132,2,0.003257328990228013
STATEN ISLAND,2013,8,178,0,29,0,0.0
BOROUGH_NOT_SPECIFIED,2013,9,892,3,214,3,0.0033632286995515697
BRONX,2013,9,371,1,131,1,0.0026954177897574125
BROOKLYN,2013,9,841,2,248,4,0.0023781212841854932
MANHATTAN,2013,9,745,1,122,1,0.0013422818791946308
QUEENS,2013,9,654,1,181,1,0.0015290519877675841
STATEN ISLAND,2013,9,170,0,43,0,0.0
BOROUGH_NOT_SPECIFIED,2013,10,830,0,202,0,0.0
BRONX,2013,10,453,0,121,0,0.0
BROOKLYN,2013,10,923,2,285,2,0.0021668472372697724
MANHATTAN,2013,10,759,2,128,2,0.002635046113306983
QUEENS,2013,10,789,1,209,1,0.0012674271229404308
STATEN ISLAND,2013,10,215,0,56,0,0.0
BOROUGH_NOT_SPECIFIED,2013,11,853,4,188,4,0.004689331770222743
BRONX,2013,11,412,1,99,1,0.0024271844660194173
BROOKLYN,2013,11,862,0,262,0,0.0
MANHATTAN,2013,11,798,0,142,0,0.0
QUEENS,2013,11,718,1,197,1,0.001392757660167131
STATEN ISLAND,2013,11,172,0,39,0,0.0
BOROUGH_NOT_SPECIFIED,2013,12,894,1,242,1,0.0011185682326621924
BRONX,2013,12,396,0,95,0,0.0
BROOKLYN,2013,12,812,1,253,1,0.0012315270935960591
MANHATTAN,2013,12,724,0,120,0,0.0
QUEENS,2013,12,747,1,154,1,0.0013386880856760374
STATEN ISLAND,2013,12,199,0,62,0,0.0
BOROUGH_NOT_SPECIFIED,2013,13,726,3,215,3,0.004132231404958678
BRONX,2013,13,330,0,93,0,0.0
BROOKLYN,2013,13,735,0,214,0,0.0
MANHATTAN,2013,13,697,0,142,0,0.0
QUEENS,2013,13,740,0,237,0,0.0
STATEN ISLAND,2013,13,144,0,27,0,0.0
BOROUGH_NOT_SPECIFIED,2013,14,806,1,209,2,0.0012406947890818859
BRONX,2013,14,346,0,135,0,0.0
BROOKLYN,2013,14,821,3,276,3,0.0036540803897685747
MANHATTAN,2013,14,745,1,108,1,0.0013422818791946308
QUEENS,2013,14,688,1,154,1,0.0014534883720930232
STATEN ISLAND,2013,14,171,0,54,0,0.0
BOROUGH_NOT_SPECIFIED,2013,15,866,1,222,1,0.0011547344110854503
BRONX,2013,15,379,0,123,0,0.0
BROOKLYN,2013,15,953,0,334,0,0.0
MANHATTAN,2013,15,820,0,158,0,0.0
QUEENS,2013,15,763,0,217,0,0.0
STATEN ISLAND,2013,15,187,0,52,0,0.0
BOROUGH_NOT_SPECIFIED,2013,16,908,0,225,0,0.0
BRONX,2013,16,399,0,103,0,0.0
BROOKLYN,2013,16,881,1,281,1,0.0011350737797956867
MANHATTAN,2013,16,781,1,168,1,0.0012804097311139564
QUEENS,2013,16,702,1,213,1,0.0014245014245014246
STATEN ISLAND,2013,16,157,0,36,0,0.0
BOROUGH_NOT_SPECIFIED,2013,17,926,1,247,1,0.0010799136069114472
BRONX,2013,17,377,0,120,0,0.0
BROOKLYN,2013,17,910,1,298,1,0.001098901098901099
MANHATTAN,2013,17,772,0,140,0,0.0
QUEENS,2013,17,731,1,226,1,0.0013679890560875513
STATEN ISLAND,2013,17,175,0,52,0,0.0
BOROUGH_NOT_SPECIFIED,2013,18,893,1,267,1,0.0011198208286674132
BRONX,2013,18,369,0,115,0,0.0
