Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
QUEENS,2013,30,775,3,464,6,0.003870967741935484
STATEN ISLAND,2013,30,99,0,42,0,0.0
BOROUGH_NOT_SPECIFIED,2013,31,944,1,518,2,0.001059322033898305
BRONX,2013,31,411,0,254,0,0.0
BROOKLYN,2013,31,884,0,626,0,0.0
MANHATTAN,2013,31,849,3,330,6,0.0035335689045936395
QUEENS,2013,31,738,3,442,6,0.0040650406504065045
STATEN ISLAND,2013,31,120,0,98,0,0.0
BOROUGH_NOT_SPECIFIED,2013,32,892,2,538,4,0.002242152466367713
BRONX,2013,32,359,0,206,0,0.0
BROOKLYN,2013,32,849,2,568,4,0.002355712603062426
MANHATTAN,2013,32,754,0,330,0,0.0
QUEENS,2013,32,725,2,432,6,0.002758620689655172
STATEN ISLAND,2013,32,119,1,48,2,0.008403361344537815
BOROUGH_NOT_SPECIFIED,2013,33,995,2,568,4,0.0020100502512562816
BRONX,2013,33,364,0,248,0,0.0
BROOKLYN,2013,33,877,4,674,8,0.004561003420752566
MANHATTAN,2013,33,857,1,286,2,0.0011668611435239206
QUEENS,2013,33,701,3,376,6,0.0042796005706134095
STATEN ISLAND,2013,33,122,0,100,0,0.0
BOROUGH_NOT_SPECIFIED,2013,34,886,3,506,6,0.003386004514672686
BRONX,2013,34,372,0,234,0,0.0
BROOKLYN,2013,34,887,2,640,4,0.002254791431792559
MANHATTAN,2013,34,796,2,316,4,0.002512562814070352
QUEENS,2013,34,701,1,442,4,0.0014265335235378032
STATEN ISLAND,2013,34,121,0,48,0,0.0
BOROUGH_NOT_SPECIFIED,2013,35,912,1,568,2,0.0010964912280701754
BRONX,2013,35,330,2,230,4,0.006060606060606061
BROOKLYN,2013,35,913,2,664,4,0.002190580503833516
MANHATTAN,2013,35,744,0,296,0,0.0
QUEENS,2013,35,645,0,388,0,0.0
STATEN ISLAND,2013,35,96,0,46,0,0.0
BOROUGH_NOT_SPECIFIED,2013,36,931,1,560,2,0.0010741138560687433
BRONX,2013,36,353,1,250,2,0.0028328611898017
BROOKLYN,2013,36,847,0,686,0,0.0
MANHATTAN,2013,36,765,1,338,2,0.00130718954248366
QUEENS,2013,36,686,2,456,4,0.0029154518950437317
STATEN ISLAND,2013,36,105,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2013,37,962,3,496,6,0.0031185031185031187
BRONX,2013,37,396,0,266,0,0.0
BROOKLYN,2013,37,982,1,732,2,0.0010183299389002036
MANHATTAN,2013,37,913,0,310,0,0.0
QUEENS,2013,37,791,3,462,8,0.0037926675094816687
STATEN ISLAND,2013,37,133,0,58,0,0.0
BOROUGH_NOT_SPECIFIED,2013,38,974,0,610,0,0.0
BRONX,2013,38,412,1,276,2,0.0024271844660194173
BROOKLYN,2013,38,883,2,642,4,0.0022650056625141564
MANHATTAN,2013,38,857,0,354,0,0.0
QUEENS,2013,38,808,2,484,4,0.0024752475247524753
STATEN ISLAND,2013,38,131,0,58,0,0.0
BOROUGH_NOT_SPECIFIED,2013,39,958,4,518,8,0.0041753653444676405
BRONX,2013,39,398,0,244,0,0.0
BROOKLYN,2013,39,816,1,558,2,0.0012254901960784314
MANHATTAN,2013,39,829,0,308,0,0.0
QUEENS,2013,39,777,3,446,6,0.003861003861003861
STATEN ISLAND,2013,39,158,0,92,0,0.0
BOROUGH_NOT_SPECIFIED,2013,40,954,2,526,4,0.0020964360587002098
BRONX,2013,40,372,1,256,2,0.002688172043010753
BROOKLYN,2013,40,924,0,634,0,0.0
MANHATTAN,2013,40,840,0,360,0,0.0
QUEENS,2013,40,787,2,356,4,0.0025412960609911056
STATEN ISLAND,2013,40,137,0,80,0,0.0
BOROUGH_NOT_SPECIFIED,2013,41,974,2,506,4,0.002053388090349076
BRONX,2013,41,333,1,226,2,0.003003003003003003
BROOKLYN,2013,41,905,2,564,4,0.0022099447513812156
MANHATTAN,2013,41,837,0,266,0,0.0
QUEENS,2013,41,778,1,416,2,0.0012853470437017994
STATEN ISLAND,2013,41,131,0,62,0,0.0
BOROUGH_NOT_SPECIFIED,2013,42,919,0,540,0,0.0
BRONX,2013,42,381,0,260,0,0.0
BROOKLYN,2013,42,870,3,592,6,0.0034482758620689655
MANHATTAN,2013,42,807,1,300,2,0.0012391573729863693
QUEENS,2013,42,722,0,396,0,0.0
STATEN ISLAND,2013,42,119,0,50,0,0.0
BOROUGH_NOT_SPECIFIED,2013,43,1004,1,588,2,9.9601593625498E-4
BRONX,2013,43,356,1,258,2,0.0028089887640449437
BROOKLYN,2013,43,944,2,598,4,0.00211864406779661
MANHATTAN,2013,43,844,0,354,0,0.0
QUEENS,2013,43,843,0,520,0,0.0
STATEN ISLAND,2013,43,140,0,74,0,0.0
BOROUGH_NOT_SPECIFIED,2013,44,1005,1,616,2,9.950248756218905E-4
BRONX,2013,44,332,2,208,4,0.006024096385542169
BROOKLYN,2013,44,906,2,674,4,0.002207505518763797
MANHATTAN,2013,44,859,0,288,0,0.0
QUEENS,2013,44,804,1,404,2,0.0012437810945273632
STATEN ISLAND,2013,44,162,0,124,0,0.0
BOROUGH_NOT_SPECIFIED,2013,45,995,2,464,6,0.0020100502512562816
BRONX,2013,45,367,3,226,6,0.008174386920980926
BROOKLYN,2013,45,954,0,568,0,0.0
MANHATTAN,2013,45,855,1,258,2,0.0011695906432748538
QUEENS,2013,45,843,1,424,2,0.0011862396204033216
STATEN ISLAND,2013,45,162,0,84,0,0.0
BOROUGH_NOT_SPECIFIED,2013,46,1030,3,618,6,0.002912621359223301
BRONX,2013,46,393,1,290,2,0.002544529262086514
BROOKLYN,2013,46,889,0,588,0,0.0
MANHATTAN,2013,46,832,1,308,2,0.001201923076923077
QUEENS,2013,46,791,2,404,6,0.0025284450063211127
STATEN ISLAND,2013,46,141,0,56,0,0.0
BOROUGH_NOT_SPECIFIED,2013,47,1021,2,548,4,0.0019588638589618022
BRONX,2013,47,368,1,280,2,0.002717391304347826
BROOKLYN,2013,47,963,1,582,2,0.0010384215991692627
MANHATTAN,2013,47,862,2,284,4,0.002320185614849188
QUEENS,2013,47,840,0,418,0,0.0
STATEN ISLAND,2013,47,123,0,64,0,0.0
BOROUGH_NOT_SPECIFIED,2013,48,1005,4,532,10,0.003980099502487562
